ts,mode,site,ttfb_ms,dom_ms,load_ms,status
2025-11-28T22:09:38.229Z,doh,https://mozilla.org,602,1196,1654,ok
2025-11-28T22:09:45.940Z,doh,https://apache.org,56,593,805,ok
2025-11-28T22:09:55.140Z,doh,https://eclipse.org,268,1192,1499,ok
2025-11-28T22:10:03.073Z,doh,https://python.org,91,748,870,ok
2025-11-28T22:10:12.399Z,doh,https://nist.gov,233,1016,1565,ok
2025-11-28T22:10:21.434Z,doh,https://r-project.org,612,1173,1258,ok
2025-11-28T22:10:37.733Z,doh,https://reqres.in,269,1580,3649,ok
2025-11-28T22:11:02.893Z,doh,https://cern.ch,825,5077,6441,ok
2025-11-28T22:11:10.972Z,doh,https://ietf.org,75,581,709,ok
2025-11-28T22:11:24.744Z,doh,https://postman-echo.com,365,1822,2301,ok
