ts,mode,site,ttfb_ms,dom_ms,load_ms,status
2025-11-28T21:54:33.401Z,dot,https://eclipse.org,363,1288,1358,ok
2025-11-28T21:54:43.786Z,dot,https://postman-echo.com,484,1941,2506,ok
2025-11-28T21:54:55.844Z,dot,https://python.org,173,808,927,ok
2025-11-28T21:55:06.977Z,dot,https://reqres.in,310,1706,3702,ok
2025-11-28T21:55:21.080Z,dot,https://ietf.org,176,636,1180,ok
2025-11-28T21:55:30.423Z,dot,https://r-project.org,1472,2054,2116,ok
2025-11-28T21:55:39.907Z,dot,https://nist.gov,159,781,1344,ok
2025-11-28T21:55:49.583Z,dot,https://mozilla.org,621,1195,1671,ok
2025-11-28T21:56:04.593Z,dot,https://cern.ch,1493,5811,7203,ok
2025-11-28T21:56:23.558Z,dot,https://apache.org,106,594,1120,ok
