ts,mode,site,ttfb_ms,dom_ms,load_ms,status
2025-11-28T21:54:39.230Z,dot,https://eclipse.org,272,1307,1468,ok
2025-11-28T21:54:52.409Z,dot,https://postman-echo.com,426,1816,2290,ok
2025-11-28T21:55:00.356Z,dot,https://python.org,74,670,786,ok
2025-11-28T21:55:17.491Z,dot,https://reqres.in,264,1550,3479,ok
2025-11-28T21:55:26.056Z,dot,https://ietf.org,170,718,967,ok
2025-11-28T21:55:35.972Z,dot,https://r-project.org,617,1200,1259,ok
2025-11-28T21:55:45.751Z,dot,https://nist.gov,236,834,1389,ok
2025-11-28T21:55:55.256Z,dot,https://mozilla.org,198,829,1285,ok
2025-11-28T21:56:20.396Z,dot,https://cern.ch,826,5225,6478,ok
2025-11-28T21:56:28.029Z,dot,https://apache.org,51,579,774,ok
