ts,mode,site,ttfb_ms,dom_ms,load_ms,status
2025-11-28T20:43:31.999Z,local_cache,https://r-project.org,617,1196,1259,ok
2025-11-28T20:43:40.946Z,local_cache,https://python.org,80,735,856,ok
2025-11-28T20:43:52.752Z,local_cache,https://mozilla.org,776,1541,2008,ok
2025-11-28T20:44:18.903Z,local_cache,https://cern.ch,831,5130,6367,ok
2025-11-28T20:44:33.419Z,local_cache,https://postman-echo.com,402,1789,2256,ok
2025-11-28T20:44:52.326Z,local_cache,https://reqres.in,170,1576,3881,ok
2025-11-28T20:45:03.018Z,local_cache,https://eclipse.org,291,1209,1271,ok
2025-11-28T20:45:13.465Z,local_cache,https://nist.gov,237,936,1462,ok
2025-11-28T20:45:21.969Z,local_cache,https://apache.org,55,685,717,ok
2025-11-28T20:45:31.043Z,local_cache,https://ietf.org,183,682,1020,ok
