ts,mode,site,ttfb_ms,dom_ms,load_ms,status
2025-11-28T20:34:00.794Z,public_udp,https://postman-echo.com,657,2081,2504,ok
2025-11-28T20:34:19.993Z,public_udp,https://cern.ch,826,5060,6394,ok
2025-11-28T20:34:44.013Z,public_udp,https://reqres.in,361,1910,4067,ok
2025-11-28T20:34:58.711Z,public_udp,https://mozilla.org,365,997,1446,ok
2025-11-28T20:35:09.236Z,public_udp,https://ietf.org,161,627,953,ok
2025-11-28T20:35:17.656Z,public_udp,https://apache.org,104,652,826,ok
2025-11-28T20:35:26.168Z,public_udp,https://nist.gov,170,881,1459,ok
2025-11-28T20:35:36.860Z,public_udp,https://r-project.org,1074,1658,1713,ok
2025-11-28T20:35:46.843Z,public_udp,https://eclipse.org,341,1256,1394,ok
2025-11-28T20:35:57.791Z,public_udp,https://python.org,166,788,911,ok
