ts,mode,site,ttfb_ms,dom_ms,load_ms,status
2025-11-28T20:34:09.468Z,public_udp,https://postman-echo.com,379,1796,2274,ok
2025-11-28T20:34:35.988Z,public_udp,https://cern.ch,834,5243,6381,ok
2025-11-28T20:34:53.939Z,public_udp,https://reqres.in,169,1490,3700,ok
2025-11-28T20:35:04.529Z,public_udp,https://mozilla.org,328,908,1373,ok
2025-11-28T20:35:13.526Z,public_udp,https://ietf.org,85,659,912,ok
2025-11-28T20:35:21.843Z,public_udp,https://apache.org,50,575,779,ok
2025-11-28T20:35:32.097Z,public_udp,https://nist.gov,236,875,1494,ok
2025-11-28T20:35:42.153Z,public_udp,https://r-project.org,609,1152,1347,ok
2025-11-28T20:35:52.890Z,public_udp,https://eclipse.org,266,1210,1325,ok
2025-11-28T20:36:02.353Z,public_udp,https://python.org,74,693,815,ok
