ts,mode,site,ttfb_ms,dom_ms,load_ms,status
2025-11-26T06:50:28.522Z,doh,https://apache.org,112,337,410,ok
2025-11-26T06:52:04.232Z,doh,https://cern.ch,1065,3938,14126,ok
2025-11-26T06:50:41.401Z,doh,https://eclipse.org,148,571,588,ok
2025-11-26T06:52:57.505Z,doh,https://gnu.org,217,232,232,ok
2025-11-26T06:50:07.574Z,doh,https://httpbin.org,227,1437,1438,ok
2025-11-26T06:51:22.985Z,doh,https://ietf.org,135,368,521,ok
2025-11-26T06:51:09.453Z,doh,https://mozilla.org,250,486,675,ok
2025-11-26T06:50:55.188Z,doh,https://nist.gov,101,429,776,ok
2025-11-26T06:49:53.800Z,doh,https://python.org,172,420,477,ok
2025-11-26T06:51:37.451Z,doh,https://r-project.org,586,943,1048,ok
