ts,mode,site,ttfb_ms,dom_ms,load_ms,status
2025-11-26T06:47:24.291Z,dot,https://apache.org,99,340,389,ok
2025-11-26T06:49:01.617Z,dot,https://cern.ch,754,3509,12365,ok
2025-11-26T06:47:36.446Z,dot,https://eclipse.org,143,525,586,ok
2025-11-26T06:49:41.732Z,dot,https://gnu.org,212,222,222,ok
2025-11-26T06:47:05.379Z,dot,https://httpbin.org,1613,2622,2623,ok
2025-11-26T06:48:20.399Z,dot,https://ietf.org,108,322,700,ok
2025-11-26T06:48:05.120Z,dot,https://mozilla.org,589,1013,1257,ok
2025-11-26T06:47:50.941Z,dot,https://nist.gov,103,490,770,ok
2025-11-26T06:46:50.842Z,dot,https://python.org,205,438,476,ok
2025-11-26T06:48:35.092Z,dot,https://r-project.org,488,1048,1049,ok
