ts,mode,site,ttfb_ms,dom_ms,load_ms,status
2025-11-26T06:47:32.008Z,dot,https://apache.org,98,337,401,ok
2025-11-26T06:49:37.378Z,dot,https://cern.ch,668,3441,12168,ok
2025-11-26T06:47:45.499Z,dot,https://eclipse.org,183,672,708,ok
2025-11-26T06:49:49.391Z,dot,https://gnu.org,213,227,228,ok
2025-11-26T06:47:19.932Z,dot,https://httpbin.org,146,3647,3648,ok
2025-11-26T06:48:29.902Z,dot,https://ietf.org,141,392,780,ok
2025-11-26T06:48:14.769Z,dot,https://mozilla.org,316,652,880,ok
2025-11-26T06:47:59.703Z,dot,https://nist.gov,80,440,734,ok
2025-11-26T06:46:58.854Z,dot,https://python.org,197,513,637,ok
2025-11-26T06:48:44.800Z,dot,https://r-project.org,480,1014,1015,ok
