ts,mode,site,ttfb_ms,dom_ms,load_ms,status
2025-11-26T06:44:07.364Z,public_udp,https://apache.org,101,372,420,ok
2025-11-26T06:46:34.225Z,public_udp,https://cern.ch,759,3685,20800,ok
2025-11-26T06:44:25.604Z,public_udp,https://eclipse.org,167,567,578,ok
2025-11-26T06:46:46.530Z,public_udp,https://gnu.org,227,238,239,ok
2025-11-26T06:43:54.129Z,public_udp,https://httpbin.org,641,2015,2016,ok
2025-11-26T06:45:14.396Z,public_udp,https://ietf.org,121,360,444,ok
2025-11-26T06:44:59.035Z,public_udp,https://mozilla.org,417,675,891,ok
2025-11-26T06:44:41.706Z,public_udp,https://nist.gov,119,471,766,ok
2025-11-26T06:43:38.655Z,public_udp,https://python.org,156,420,458,ok
2025-11-26T06:45:31.156Z,public_udp,https://r-project.org,482,851,993,ok
